[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264888178]	[GATE]	[2021-06-21 17:41:28.538]	[I][GATEWAY MANAGER] > START
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264888178]	[GATE]	[2021-06-21 17:41:29.536]	[E][GATEWAY MANAGER] > UBISERVICE CONNECT EXCEPTION : [localhost][16996] - Connection refused: connect
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264888178]	[GATE]	[2021-06-21 17:41:29.536]	[E][GATEWAY MANAGER] > UBISERVICE CONNECT ERROR
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264888178]	[GATE]	[2021-06-21 17:41:29.536]	[I][GATEWAY MANAGER] > END
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264893814]	[GATE]	[2021-06-21 17:41:34.169]	[I][GATEWAY MANAGER] > START
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264893814]	[GATE]	[2021-06-21 17:41:35.168]	[E][GATEWAY MANAGER] > UBISERVICE CONNECT EXCEPTION : [localhost][16996] - Connection refused: connect
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264893814]	[GATE]	[2021-06-21 17:41:35.168]	[E][GATEWAY MANAGER] > UBISERVICE CONNECT ERROR
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264893814]	[GATE]	[2021-06-21 17:41:35.168]	[I][GATEWAY MANAGER] > END
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264903296]	[GATE]	[2021-06-21 17:41:43.654]	[I][GATEWAY MANAGER] > START
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264903296]	[GATE]	[2021-06-21 17:41:44.653]	[E][GATEWAY MANAGER] > UBISERVICE CONNECT EXCEPTION : [localhost][16996] - Connection refused: connect
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264903296]	[GATE]	[2021-06-21 17:41:44.653]	[E][GATEWAY MANAGER] > UBISERVICE CONNECT ERROR
[B7BD172FF2EA82CD147C7A1A08E0AD1D_1624264903296]	[GATE]	[2021-06-21 17:41:44.653]	[I][GATEWAY MANAGER] > END
